Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 08/01  00:05:00,24.0333333333333,47.1666666666667,0,0
 08/01  00:10:00,23.6666666666667,48.3333333333333,0,0
 08/01  00:15:00,23.3,49.5,0,0
 08/01  00:20:00,22.9333333333333,50.6666666666667,0,0
 08/01  00:25:00,22.5666666666667,51.8333333333333,0,0
 08/01  00:30:00,22.2,53,0,0
 08/01  00:35:00,21.8333333333333,54.1666666666667,0,0
 08/01  00:40:00,21.4666666666667,55.3333333333333,0,0
 08/01  00:45:00,21.1,56.5,0,0
 08/01  00:50:00,20.7333333333333,57.6666666666667,0,0
 08/01  00:55:00,20.3666666666667,58.8333333333333,0,0
 08/01  01:00:00,20,60,0,0
 08/01  01:05:00,19.9166666666667,60.3333333333333,0,0
 08/01  01:10:00,19.8333333333333,60.6666666666667,0,0
 08/01  01:15:00,19.75,61,0,0
 08/01  01:20:00,19.6666666666667,61.3333333333333,0,0
 08/01  01:25:00,19.5833333333333,61.6666666666667,0,0
 08/01  01:30:00,19.5,62,0,0
 08/01  01:35:00,19.4166666666667,62.3333333333333,0,0
 08/01  01:40:00,19.3333333333333,62.6666666666667,0,0
 08/01  01:45:00,19.25,63,0,0
 08/01  01:50:00,19.1666666666667,63.3333333333333,0,0
 08/01  01:55:00,19.0833333333333,63.6666666666667,0,0
 08/01  02:00:00,19,64,0,0
 08/01  02:05:00,19,63.9166666666667,0,0
 08/01  02:10:00,19,63.8333333333333,0,0
 08/01  02:15:00,19,63.75,0,0
 08/01  02:20:00,19,63.6666666666667,0,0
 08/01  02:25:00,19,63.5833333333333,0,0
 08/01  02:30:00,19,63.5,0,0
 08/01  02:35:00,19,63.4166666666667,0,0
 08/01  02:40:00,19,63.3333333333333,0,0
 08/01  02:45:00,19,63.25,0,0
 08/01  02:50:00,19,63.1666666666667,0,0
 08/01  02:55:00,19,63.0833333333333,0,0
 08/01  03:00:00,19,63,0,0
 08/01  03:05:00,18.925,63.3333333333333,0,0
 08/01  03:10:00,18.85,63.6666666666667,0,0
 08/01  03:15:00,18.775,64,0,0
 08/01  03:20:00,18.7,64.3333333333333,0,0
 08/01  03:25:00,18.625,64.6666666666667,0,0
 08/01  03:30:00,18.55,65,0,0
 08/01  03:35:00,18.475,65.3333333333333,0,0
 08/01  03:40:00,18.4,65.6666666666667,0,0
 08/01  03:45:00,18.325,66,0,0
 08/01  03:50:00,18.25,66.3333333333333,0,0
 08/01  03:55:00,18.175,66.6666666666667,0,0
 08/01  04:00:00,18.1,67,0,0
 08/01  04:05:00,18.0166666666667,67.4166666666667,0,0
 08/01  04:10:00,17.9333333333333,67.8333333333333,0,0
 08/01  04:15:00,17.85,68.25,0,0
 08/01  04:20:00,17.7666666666667,68.6666666666667,0,0
 08/01  04:25:00,17.6833333333333,69.0833333333333,0,0
 08/01  04:30:00,17.6,69.5,0,0
 08/01  04:35:00,17.5166666666667,69.9166666666667,0,0
 08/01  04:40:00,17.4333333333333,70.3333333333333,0,0
 08/01  04:45:00,17.35,70.75,0,0
 08/01  04:50:00,17.2666666666667,71.1666666666667,0,0
 08/01  04:55:00,17.1833333333333,71.5833333333333,0,0
 08/01  05:00:00,17.1,72,0,0
 08/01  05:05:00,17.0333333333333,72.25,0,0
 08/01  05:10:00,16.9666666666667,72.5,0,0
 08/01  05:15:00,16.9,72.75,6.75,0
 08/01  05:20:00,16.8333333333333,73,7.5,0
 08/01  05:25:00,16.7666666666667,73.25,8.25,0
 08/01  05:30:00,16.7,73.5,9,0
 08/01  05:35:00,16.6333333333333,73.75,13.1666666666667,0.166666666666667
 08/01  05:40:00,16.5666666666667,74,17.3333333333333,0.333333333333333
 08/01  05:45:00,16.5,74.25,21.5,0.5
 08/01  05:50:00,16.4333333333333,74.5,25.6666666666667,0.666666666666667
 08/01  05:55:00,16.3666666666667,74.75,29.8333333333333,0.833333333333333
 08/01  06:00:00,16.3,75,34,1
 08/01  06:05:00,16.2666666666667,75.1666666666667,38.1666666666667,1.16666666666667
 08/01  06:10:00,16.2333333333333,75.3333333333333,42.3333333333333,1.33333333333333
 08/01  06:15:00,16.2,75.5,46.5,1.5
 08/01  06:20:00,16.1666666666667,75.6666666666667,50.6666666666667,1.66666666666667
 08/01  06:25:00,16.1333333333333,75.8333333333333,54.8333333333333,1.83333333333333
 08/01  06:30:00,16.1,76,59,2
 08/01  06:35:00,16.0666666666667,76.1666666666667,63.8333333333333,7.58333333333334
 08/01  06:40:00,16.0333333333333,76.3333333333333,68.6666666666667,13.1666666666667
 08/01  06:45:00,16,76.5,73.5,18.75
 08/01  06:50:00,15.9666666666667,76.6666666666667,78.3333333333333,24.3333333333333
 08/01  06:55:00,15.9333333333333,76.8333333333333,83.1666666666667,29.9166666666667
 08/01  07:00:00,15.9,77,88,35.5
 08/01  07:05:00,15.8833333333333,77.0833333333333,92.8333333333333,41.0833333333333
 08/01  07:10:00,15.8666666666667,77.1666666666667,97.6666666666667,46.6666666666667
 08/01  07:15:00,15.85,77.25,102.5,52.25
 08/01  07:20:00,15.8333333333333,77.3333333333333,107.333333333333,57.8333333333333
 08/01  07:25:00,15.8166666666667,77.4166666666667,112.166666666667,63.4166666666667
 08/01  07:30:00,15.8,77.5,117,69
 08/01  07:35:00,15.7833333333333,77.5833333333333,120.916666666667,83.8333333333333
 08/01  07:40:00,15.7666666666667,77.6666666666667,124.833333333333,98.6666666666667
 08/01  07:45:00,15.75,77.75,128.75,113.5
 08/01  07:50:00,15.7333333333333,77.8333333333333,132.666666666667,128.333333333333
 08/01  07:55:00,15.7166666666667,77.9166666666667,136.583333333333,143.166666666667
 08/01  08:00:00,15.7,78,140.5,158
 08/01  08:05:00,15.725,77.9166666666667,144.416666666667,172.833333333333
 08/01  08:10:00,15.75,77.8333333333333,148.333333333333,187.666666666667
 08/01  08:15:00,15.775,77.75,152.25,202.5
 08/01  08:20:00,15.8,77.6666666666667,156.166666666667,217.333333333333
 08/01  08:25:00,15.825,77.5833333333333,160.083333333333,232.166666666667
 08/01  08:30:00,15.85,77.5,164,247
 08/01  08:35:00,15.875,77.4166666666667,166.583333333333,262.25
 08/01  08:40:00,15.9,77.3333333333333,169.166666666667,277.5
 08/01  08:45:00,15.925,77.25,171.75,292.75
 08/01  08:50:00,15.95,77.1666666666667,174.333333333333,308
 08/01  08:55:00,15.975,77.0833333333333,176.916666666667,323.25
 08/01  09:00:00,16,77,179.5,338.5
 08/01  09:05:00,16.0916666666667,76.8333333333333,182.083333333333,353.75
 08/01  09:10:00,16.1833333333333,76.6666666666667,184.666666666667,369
 08/01  09:15:00,16.275,76.5,187.25,384.25
 08/01  09:20:00,16.3666666666667,76.3333333333333,189.833333333333,399.5
 08/01  09:25:00,16.4583333333333,76.1666666666667,192.416666666667,414.75
 08/01  09:30:00,16.55,76,195,430
 08/01  09:35:00,16.6416666666667,75.8333333333333,195.333333333333,444.416666666667
 08/01  09:40:00,16.7333333333333,75.6666666666667,195.666666666667,458.833333333333
 08/01  09:45:00,16.825,75.5,196,473.25
