Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  06:55:00,3.9583333333333337,95.0,0.0,0.0 
 01/01  07:00:00,4.0,95.0,0.0,0.0 
 01/01  07:05:00,4.108333333333333,94.91666666666666,0.0,0.0 
 01/01  07:10:00,4.216666666666667,94.83333333333334,0.0,0.0 
 01/01  07:15:00,4.325,94.75,0.0,0.0 
 01/01  07:20:00,4.433333333333334,94.66666666666667,0.0,0.0 
 01/01  07:25:00,4.541666666666666,94.58333333333333,0.0,0.0 
 01/01  07:30:00,4.65,94.5,0.0,29.0 
 01/01  07:35:00,4.758333333333333,94.41666666666666,2.0833333333333345,35.66666666666667 
 01/01  07:40:00,4.866666666666667,94.33333333333334,4.166666666666666,42.33333333333333 
 01/01  07:45:00,4.975,94.25,6.25,49.0 
 01/01  07:50:00,5.083333333333334,94.16666666666667,8.333333333333333,55.666666666666667 
 01/01  07:55:00,5.191666666666666,94.08333333333333,10.416666666666666,62.33333333333333 
 01/01  08:00:00,5.3,94.0,12.5,69.0 
 01/01  08:05:00,5.358333333333333,93.99999999999999,14.583333333333334,75.66666666666667 
 01/01  08:10:00,5.416666666666667,94.00000000000002,16.666666666666669,82.33333333333334 
 01/01  08:15:00,5.475,94.0,18.75,89.0 
 01/01  08:20:00,5.533333333333333,94.0,20.833333333333337,95.66666666666667 
 01/01  08:25:00,5.591666666666667,94.0,22.916666666666666,102.33333333333333 
 01/01  08:30:00,5.65,94.0,25.0,109.0 
 01/01  08:35:00,5.708333333333333,94.0,26.5,121.41666666666667 
 01/01  08:40:00,5.766666666666667,94.0,28.0,133.83333333333335 
 01/01  08:45:00,5.825,94.0,29.5,146.25 
 01/01  08:50:00,5.883333333333333,94.0,31.0,158.66666666666667 
 01/01  08:55:00,5.941666666666666,94.0,32.5,171.08333333333332 
 01/01  09:00:00,6.0,94.0,34.0,183.5 
 01/01  09:05:00,6.091666666666667,93.83333333333333,35.5,195.91666666666667 
 01/01  09:10:00,6.183333333333334,93.66666666666667,37.0,208.33333333333338 
 01/01  09:15:00,6.275,93.5,38.5,220.75 
 01/01  09:20:00,6.366666666666666,93.33333333333334,40.0,233.16666666666667 
 01/01  09:25:00,6.458333333333333,93.16666666666666,41.5,245.58333333333335 
 01/01  09:30:00,6.55,93.0,43.0,258.0 
 01/01  09:35:00,6.641666666666667,92.83333333333334,44.083333333333339,258.1666666666667 
 01/01  09:40:00,6.7333333333333329,92.66666666666666,45.16666666666667,258.3333333333333 
 01/01  09:45:00,6.824999999999999,92.5,46.25,258.5 
 01/01  09:50:00,6.916666666666667,92.33333333333333,47.333333333333339,258.6666666666667 
 01/01  09:55:00,7.008333333333333,92.16666666666667,48.41666666666667,258.8333333333333 
 01/01  10:00:00,7.1,92.0,49.5,259.0 
 01/01  10:05:00,7.216666666666666,91.33333333333333,50.583333333333339,259.1666666666667 
 01/01  10:10:00,7.333333333333334,90.66666666666667,51.666666666666667,259.3333333333333 
 01/01  10:15:00,7.449999999999999,90.0,52.75,259.5 
 01/01  10:20:00,7.566666666666666,89.33333333333334,53.833333333333339,259.6666666666667 
 01/01  10:25:00,7.683333333333333,88.66666666666666,54.916666666666667,259.8333333333333 
 01/01  10:30:00,7.8,88.0,56.0,260.0 
 01/01  10:35:00,7.916666666666667,87.33333333333333,56.58333333333333,270.25 
 01/01  10:40:00,8.033333333333334,86.66666666666667,57.16666666666667,280.5 
 01/01  10:45:00,8.15,86.0,57.75,290.75 
 01/01  10:50:00,8.266666666666668,85.33333333333333,58.33333333333333,301.0 
 01/01  10:55:00,8.383333333333333,84.66666666666667,58.91666666666667,311.25 
 01/01  11:00:00,8.5,84.0,59.5,321.5 
 01/01  11:05:00,8.641666666666666,83.58333333333333,60.08333333333333,331.75 
 01/01  11:10:00,8.783333333333334,83.16666666666667,60.66666666666667,342.0 
 01/01  11:15:00,8.925,82.75,61.25,352.25 
 01/01  11:20:00,9.066666666666667,82.33333333333334,61.83333333333333,362.5 
 01/01  11:25:00,9.208333333333333,81.91666666666666,62.41666666666667,372.75 
 01/01  11:30:00,9.35,81.5,63.0,383.0 
 01/01  11:35:00,9.491666666666668,81.08333333333334,63.16666666666667,375.91666666666665 
 01/01  11:40:00,9.633333333333333,80.66666666666667,63.33333333333333,368.83333333333339 
 01/01  11:45:00,9.774999999999999,80.25,63.5,361.75 
 01/01  11:50:00,9.916666666666666,79.83333333333334,63.66666666666667,354.6666666666667 
 01/01  11:55:00,10.058333333333334,79.41666666666666,63.83333333333333,347.58333333333339 
 01/01  12:00:00,10.2,79.0,64.0,340.5 
 01/01  12:05:00,10.266666666666666,78.74999999999999,64.16666666666667,333.41666666666665 
 01/01  12:10:00,10.333333333333334,78.50000000000002,64.33333333333333,326.3333333333333 
 01/01  12:15:00,10.399999999999999,78.25,64.5,319.25 
 01/01  12:20:00,10.466666666666667,78.0,64.66666666666667,312.1666666666667 
